thresh_type,thresh,block,plot,year,max_gi,max_gi_doy,greenup_doy,senesc_doy,gs_length,gs_integral
global,gi3410,1,9,2020,0.346286004,178.574862,128.895217,274.9621798,146.0669628,37.60700165
global,gi3410,1,10,2020,0.345862674,175.2664444,125.1994791,239.4538567,114.2543776,35.35766252
global,gi3410,1,11,2020,0.341333516,147.9421292,125.405031,167.2903895,41.88535852,29.15332304
global,gi3410,1,12,2020,0.346928155,167.7055094,121.5663544,211.6065881,90.04023377,36.42942113
global,gi3410,2,1,2020,0.34156939,169.2883318,149.4591604,191.3565505,41.89739004,23.38661086
global,gi3410,2,2,2020,0.346379041,175.3767246,121.3317553,254.1582675,132.8265122,37.9449951
global,gi3410,2,3,2020,0.354329305,175.1606956,109.3280304,268.4178998,159.0898693,51.93603472
global,gi3410,2,4,2020,0.342595384,199.5971987,160.4440667,262.2922716,101.8482049,30.17028579
global,gi3410,2,5,2020,0.349631737,176.2443578,120.0397707,284.0829718,164.0432011,43.74284749
global,gi3410,2,6,2020,0.351151621,175.774031,117.6335426,289.7911737,172.1576312,47.61996685
global,gi3410,2,7,2020,0.341245167,172.2415918,156.799895,184.3771019,27.57720689,25.47528272
global,gi3410,2,8,2020,0.345288248,175.2492317,130.7088572,216.7076004,85.9987432,31.39851612
global,gi3410,2,9,2020,0.35465692,182.6266891,116.7207916,256.581367,139.8605754,49.68731384
global,gi3410,2,10,2020,0.339777848,195.0624619,NA,NA,NA,23.39318051
global,gi3410,2,11,2020,0.358533628,167.5793594,110.009028,221.3598104,111.3507824,47.54037119
global,gi3410,2,12,2020,0.349861873,175.8504049,116.4554939,230.5623513,114.1068573,42.00203201
global,gi3410,3,1,2020,0.348264085,162.3872729,109.9278233,266.9462,91.11836842,39.8631687
global,gi3410,3,2,2020,0.344875379,163.9594986,125.8347632,195.7157283,69.88096517,30.15783771
global,gi3410,3,3,2020,0.348955719,163.3734951,111.2331187,259.5591904,148.3260717,40.49780529
global,gi3410,3,4,2020,0.34016328,219.893048,NA,NA,NA,25.71894617
